Станция,Номер линии,Линия,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Алексеевская,15,КАЛУЖСКО-РИЖСКАЯ,4592,15225,19936,13364,11597,13345,14426,13575,2956,6174,11116,12027,2423,13850,19722,5869,17238,1603,15697,12392,16878,14392,16117,16731,1325,8112,18365,1136,11807,9461,7425,6987,14407,15334,13388,1435,7013,3395,3271,10317,13897,15095,10719,9988,8006,8698,7253,9147,10778,8619,16493,18627,8220,19729,16916,19873,13118,12983,5020,13901,14497,18783,7376,9356,14085,12253,7554,6439,19343,17144,3107,13496,18009,4263,5924,10373,1657,5600,2020,7109,6791,17981,14700,18378,1452,19749,15228,17590,5762,5998,6555,8002.033424520972
Рижская,15,КАЛУЖСКО-РИЖСКАЯ,12331,6050,6800,6245,6123,6839,8332,19378,19279,6535,16887,13572,3180,16331,10949,18244,18127,15983,9389,2760,5146,12382,9077,1216,1458,16205,6603,17964,18220,12732,5350,9964,10422,8241,7559,16142,12870,13970,19482,11713,6169,7671,4841,1636,16639,3681,13733,5622,14513,1908,17598,19768,19452,2200,18910,10723,7113,16337,9833,18030,12220,7526,17170,2907,5565,8777,10625,14470,12921,12073,17565,16385,2286,1403,2054,18199,1393,2195,14544,2252,6349,3962,19059,7805,6387,16296,14247,14767,10070,16842,5114,3936.8889623122404
Проспект мира,15,КАЛУЖСКО-РИЖСКАЯ,10196,14024,5295,3677,15739,19815,15199,1346,14116,13282,19528,18718,8600,11275,15464,2184,6642,13427,4653,5648,14109,10984,8282,17751,13212,14533,10196,19307,7773,9864,4978,12818,16917,7871,15983,12031,14180,11330,4992,12748,1769,8773,1839,9497,12860,17877,3526,6428,4096,2129,14858,14626,14376,18848,5887,9941,19867,19184,7158,7270,14619,17681,6663,8340,2310,2355,6083,4151,9890,1742,17087,2252,11495,14783,3198,2198,18041,16368,10779,1745,5629,11233,2301,13722,3241,9789,5129,15974,6533,9108,8532,15311.163870334658
Сухаревская,15,КАЛУЖСКО-РИЖСКАЯ,15096,18410,1852,18625,4130,2099,1930,11599,2678,18253,8925,17181,17917,11794,18690,16000,7794,9559,2158,11017,14006,1856,9829,11223,18384,11023,2115,14978,14062,12907,17964,8888,5227,5037,12888,4315,14475,11583,10284,6275,9850,16949,17698,6667,19129,14574,18835,15570,3196,8714,10763,17331,12282,10417,9227,8505,18637,15950,8823,6321,18206,6649,7419,7462,11335,1219,4798,2192,17376,9475,2693,4923,8693,16534,8130,17598,2279,19348,5997,4193,2659,13855,13552,9354,6728,2521,13949,3161,7039,13121,1483,10859.779334821398
Тургеневская,15,КАЛУЖСКО-РИЖСКАЯ,6010,4768,6300,8502,18126,18332,14152,18468,1495,10720,10071,13952,11692,16400,2227,18675,14406,14567,4566,4717,18345,16219,6627,19595,9540,3230,2782,13632,16289,2042,11567,12118,8312,11952,16463,8761,5757,10462,16155,4328,14057,7421,15171,8531,8556,2451,6145,18191,18318,5907,3008,2240,9823,3664,7763,12745,10295,3978,9432,2174,9025,16600,3707,1919,13735,8846,8645,19888,1913,14909,17930,19656,6463,5377,9800,3457,16334,1971,17599,16232,18665,19554,6687,6767,7822,16138,17298,9027,2044,15426,8122,13131.527251730546
Китай город,15,КАЛУЖСКО-РИЖСКАЯ,11520,13870,14015,6961,18845,13247,15753,9178,8892,11668,16410,1210,9317,18314,18736,14026,18929,12656,9665,9448,1590,17098,6453,4704,14498,14335,11716,11477,9655,8611,3825,10240,5479,13814,7092,3518,16767,18478,14449,1346,12343,10015,7872,1905,1272,17251,17721,3301,1347,19913,17226,1761,14990,6611,6812,17114,13481,3898,6985,10037,2904,5710,13872,3631,3036,18786,10905,19846,19808,2735,8894,19177,2668,15972,9349,10021,11157,7310,10451,19375,13100,17032,13539,12307,1266,15050,4147,11067,18347,10609,1296,14408.241715241853
Третьяковская,15,КАЛУЖСКО-РИЖСКАЯ,11678,6559,11673,6311,2518,18092,12455,17092,15273,2772,2955,16779,3051,3688,19069,6114,16193,11549,6394,14515,2488,5014,14599,6124,11370,7911,4812,7326,4935,19833,12488,10792,9998,9270,18253,12770,5158,13819,14274,6864,3922,18608,10551,7636,2122,18565,16124,11508,7097,10839,18142,4092,8785,18567,5273,9619,7670,14216,15519,4105,1238,18702,4570,2189,6678,19437,2797,12541,15229,7018,9648,4403,19681,12525,10999,5916,4918,18861,13539,11767,18502,14836,10764,12171,19994,5459,2973,17457,14237,7655,1154,15555.434846745147
Октябрьская,15,КАЛУЖСКО-РИЖСКАЯ,3100,2236,11796,13500,7097,6163,4982,6136,6130,12122,2030,13623,1306,6526,11099,16668,15172,13642,17222,11413,7139,13613,7468,14732,3959,14423,8999,2548,12545,7722,5521,6511,13268,4902,11110,4868,15218,17569,6787,2359,17080,17486,16154,6980,14666,2798,15812,6193,10557,15404,18146,5406,9925,17033,2023,16135,8533,8031,4819,12637,3434,3216,3736,10488,4978,18002,14582,9346,11229,4383,16599,14611,18127,3071,16413,2871,18762,15412,6758,8060,16188,16838,12384,16464,4846,16190,16330,8148,12224,16258,16687,17818.148980211696
Шаболовская,15,КАЛУЖСКО-РИЖСКАЯ,9354,18636,10600,6071,14993,4545,14458,3406,18938,19030,5617,17116,15530,4863,16771,4521,10668,3461,2356,17702,1666,13102,5403,8701,4054,1153,3765,2786,3701,7217,19580,16196,6152,12865,8912,9345,3588,8191,3828,14569,4111,3869,12831,13725,5812,13440,11363,9882,7103,14216,18910,10696,15153,7851,10731,11233,19653,15547,9849,14308,18978,7337,3762,7873,3544,15885,4627,10103,19913,10842,8520,14960,6314,12025,8531,6025,1629,11002,5661,19918,18214,7253,18961,12190,19843,9749,3371,17042,9321,15797,13443,6235.782954415183
Ленинский проспект,15,КАЛУЖСКО-РИЖСКАЯ,10163,4037,14790,10591,18321,9815,9457,3003,13820,16480,11862,12360,11955,18435,1241,4073,14948,17131,5016,1154,2860,14379,12331,19337,1208,10855,14901,17871,9055,3588,3383,12263,10346,8450,7685,18134,13610,6522,2965,4710,7320,9992,6696,18631,3248,17211,1609,9826,16149,1896,19469,17450,15527,13405,6466,19184,11931,6764,9508,5796,2529,13269,13367,16423,1299,4762,10980,5802,2832,17339,15616,7133,17030,2660,14824,2770,14451,9534,7389,3464,5078,18423,19569,16876,11657,19723,16507,19900,2209,10056,17874,8715.629974026382
Академическая,15,КАЛУЖСКО-РИЖСКАЯ,4970,8135,1086,3111,10767,17201,4643,5977,18483,11278,7709,5414,15209,13077,2788,12081,17831,10265,15853,17279,17862,16621,5689,16543,12213,18080,10676,4580,1347,13552,7970,18873,5039,6850,13398,18921,17600,18391,12564,3956,5337,19103,17379,3543,3684,9072,12937,18903,3888,19986,9874,10807,2999,6260,5757,5238,19280,14156,15839,13714,9232,2157,7894,16369,12712,17639,14774,4564,12392,4357,16116,13531,11273,17145,14554,19044,10737,1454,5374,4779,9383,11851,10127,6724,19738,1568,9977,1986,18341,1514,13693,10959.424121658401
Профсоюзная,15,КАЛУЖСКО-РИЖСКАЯ,18460,7831,1544,12411,4354,7482,15473,2366,9103,6428,9379,4490,1013,8656,7574,9624,18854,9730,7567,5750,15920,6276,7004,19130,19821,19393,8668,8034,5154,19629,15107,4809,5845,19624,9387,15183,9607,19384,9578,17541,16581,3704,18795,6094,19172,10866,2416,3701,5094,18520,4150,14587,16368,4810,11304,14578,10389,2383,16664,8391,14652,18086,6755,13219,18455,16742,8435,7752,11014,4615,6235,4636,7798,10242,14131,6139,16488,2053,8782,17506,19382,7798,6571,9768,14110,1240,16281,15920,15988,15184,1518,7669.584576797735
Новые Черёмушки,15,КАЛУЖСКО-РИЖСКАЯ,14053,16827,13113,3279,11093,2653,6248,9112,14301,8689,8357,6259,4691,17938,5064,2486,8940,15545,11012,2390,5806,18978,7528,8353,6374,17087,8218,12003,15754,19488,2872,1068,14554,2732,5945,12247,18101,15450,10810,8680,6611,5719,14966,1638,17599,8861,11436,19841,16691,11301,12568,3186,6549,9016,7661,2536,12770,1692,16504,13386,19810,14953,18231,16260,1405,19933,8500,5888,15711,15574,9940,6585,19964,3287,13438,2841,12601,7346,6780,8604,10382,13401,7347,18678,3661,13191,13936,3551,16161,4206,15800,10672.173592061297
Калужская,15,КАЛУЖСКО-РИЖСКАЯ,10370,16716,11468,3836,15788,17741,7233,3266,11026,17420,5149,10742,12450,7458,19605,10332,7313,4125,5571,7516,8009,15198,9522,4590,3833,2463,8222,8370,14843,17691,11214,11624,15529,1497,2344,8361,3099,3986,16531,16714,18062,14512,2530,19487,7591,7091,5230,18314,11710,10392,1454,3984,1825,19358,8778,9950,19454,15695,14773,8175,11657,17233,14156,2002,11775,19990,1813,7043,4287,18837,5416,6246,6593,8010,3397,9467,15994,17438,13247,18382,3043,8663,5315,4125,13270,13111,15165,10548,1175,9648,11542,10191.763948237262
Беляево,15,КАЛУЖСКО-РИЖСКАЯ,15223,5201,12914,6233,10510,14060,2132,17455,3048,14281,5055,11586,16843,18855,12010,16502,12317,11721,5066,9597,16606,16439,10713,19806,15257,11606,13343,15387,4495,6621,7694,2733,18660,3874,12394,1015,11151,11925,3910,16379,8326,10597,5022,6782,13044,4429,5600,18881,9907,16812,7041,9896,5304,12770,14121,15293,14281,18746,10800,9734,6860,1360,13274,15736,3280,15613,4704,3197,9634,16266,11309,12601,16815,4705,7305,4147,15497,19540,1607,8189,17134,14248,14987,6751,6242,4380,16893,14766,5024,2441,11342,16464.449759724972
Коньково,15,КАЛУЖСКО-РИЖСКАЯ,4286,9289,5709,7283,2041,7494,4504,18150,5817,17650,7806,17317,11037,16290,14750,8435,8215,3934,4019,4859,3183,18299,9505,2159,15415,5127,14973,11666,16994,15021,18568,7872,18199,3459,11694,16024,16890,18955,15198,19737,1729,11011,2290,1124,10457,16177,8030,3902,14920,11796,4857,17857,7941,16414,5231,8148,3171,1177,14657,8535,7280,4518,4900,2921,8458,1195,7207,2498,2918,11056,12479,5710,7331,17423,10080,10800,10427,2772,15178,7533,17209,14121,6084,5441,1706,3610,7926,17315,13409,19110,6433,2393.9886299265336
Тёплый стан,15,КАЛУЖСКО-РИЖСКАЯ,7119,9649,13256,1047,5237,11906,7299,10802,2763,13932,12066,9984,11271,1957,7033,12868,12335,9800,11386,19527,14635,18467,8298,4997,2955,17556,19512,5268,6822,17804,2860,19352,6596,16374,4688,16443,18678,11550,10810,15819,3858,10234,5297,7321,16201,16931,3334,1756,16393,9604,11412,13213,6807,4799,12978,2214,4732,18704,10497,1923,7664,1408,10800,10179,12700,9156,18711,10342,17540,10448,18721,5251,10213,16854,1377,8139,1628,16969,8822,1640,14744,8327,16995,3873,13541,15502,13658,10457,5844,6640,7466,3774.273007717108
Ясенево,15,КАЛУЖСКО-РИЖСКАЯ,16619,13852,12949,11288,6319,8170,2511,14505,16456,11159,15271,18744,19884,19932,11224,12752,4888,8150,9010,13506,15918,10445,13266,19310,16394,9785,4218,1194,15338,16767,19758,12274,9891,3464,6808,2053,1394,17943,19728,1643,6145,14604,18864,12699,19361,2242,6165,19539,17604,15858,5896,9451,1663,16150,7413,18376,11628,7448,4605,8670,2345,9816,5801,2011,9906,16417,11940,10235,7717,9485,7640,7590,4528,7535,7333,5478,1654,6746,15176,2843,3671,7268,13977,6296,3544,13306,5392,17024,9942,8718,12474,5842.4223579716145
Новоясеневская,15,КАЛУЖСКО-РИЖСКАЯ,15477,18170,7122,13501,19905,17587,4088,5275,7343,10136,9692,9548,7661,17605,6710,17098,3112,8517,14714,10470,14061,15004,13840,15288,7641,18886,14357,3073,1058,14443,13278,14775,19426,19863,8949,8613,13283,11414,18591,13142,19918,5869,5139,8630,2710,3214,17636,9117,7901,2312,3939,2170,10933,3084,6265,12625,11218,13761,16384,9694,18015,4765,17004,4593,4082,1058,2873,4963,4325,12507,1276,16667,18670,6328,13208,5980,9708,11434,13647,5597,9832,5992,18406,4256,10595,1216,1868,17825,2528,2385,11298,5609.857248794855
Выхино,16,ТАГАНСК-КРАСНОПР,17670,19376,6867,6550,8440,5601,11865,18110,19108,11258,8164,5600,14703,11996,4182,18892,4922,7559,5026,7320,16791,19728,6074,12833,1647,3933,7813,4772,5337,17395,12055,10627,2167,16854,9247,7911,18983,1174,5620,6980,11471,4843,5189,1733,13918,18732,18951,16906,8043,4580,3930,1248,14523,14226,9608,1122,15985,4197,7483,12233,7063,7545,3162,17421,7286,11240,1999,13822,17641,5942,2966,14842,12224,13417,12838,1098,6471,4333,7532,3938,1174,7684,7966,1143,5133,10856,10617,7349,19014,1784,9412,17228.84149998388
Рязанский проспект,16,ТАГАНСК-КРАСНОПР,19009,19051,7296,14680,16264,7100,12649,3438,9941,14539,9388,12299,7493,10458,1093,16798,5821,16202,5231,2183,11954,4342,11744,7161,9537,1880,11799,3040,10607,12291,6715,4043,8810,11715,16733,7007,8988,2175,2568,16785,11851,17430,17036,11683,14988,11303,10396,14440,16364,16453,10804,5526,1342,3566,1213,16771,5181,4816,16893,17851,2635,18254,13359,9297,5847,2256,18478,14320,18393,19648,4872,2310,17764,16986,15935,1965,3545,12328,3770,17942,9097,19168,9324,2250,6979,7178,6935,7582,7522,12730,14048,5697.430679862008
Кузьминки,16,ТАГАНСК-КРАСНОПР,17207,15032,14043,2861,2234,16397,7548,3305,7835,1362,3501,2124,14869,2869,7453,11801,15670,15068,19281,13362,19746,18301,3874,6375,10278,1032,17952,19122,13512,1062,6871,17747,17493,4603,18235,5214,19866,11105,15912,9653,3028,13245,15192,3089,6873,18179,12904,16717,12612,15362,1125,17013,2865,18977,14905,8016,15929,3313,18336,2197,7741,13850,16395,3090,11429,2026,4750,1193,15374,13371,10431,15251,14845,7379,15766,11500,6187,11686,18373,6457,5466,6410,13972,11097,2063,16861,7084,5140,19552,8895,11596,7543.631098042047
Текстильщики,16,ТАГАНСК-КРАСНОПР,4897,5999,7875,19585,14203,16906,1020,10170,2638,6791,1869,14040,13987,15781,3530,17776,13554,18310,14846,19326,6794,9260,19207,1517,17672,16331,12533,8017,14422,9635,3794,3808,15881,9979,12510,8245,5185,2622,11675,15813,10519,14940,17794,4102,18760,18196,11802,12232,15759,14670,2208,6249,10061,8658,10718,3083,11604,19277,4988,1921,9918,11684,1252,5822,7931,2808,16500,14630,1427,11630,9940,18454,6441,9988,18810,10870,13314,11511,18210,11961,12691,4202,6023,2233,15449,9197,1788,13681,15795,7472,1118,11970.260181353016
Волгоградский проспект,16,ТАГАНСК-КРАСНОПР,12690,12309,7562,6200,12450,11223,13892,8229,3073,11266,5412,4265,15334,14083,6103,3099,8083,13718,13635,2945,12298,4021,16724,6762,1780,10548,16826,7746,9929,12470,18738,11090,13768,17156,3906,15024,14991,15960,15308,13145,14377,7922,16723,1219,16963,15470,15476,2969,2644,17232,7676,2732,17253,18329,19742,18903,10233,16260,18273,5227,11495,4783,16297,5820,12319,2581,3042,9565,1744,11829,18046,5337,13513,13993,13905,7070,19462,19979,17992,1628,4717,1396,14694,14924,15977,19480,10776,8223,15307,6084,17169,14496.37256632253
Пролетарская,16,ТАГАНСК-КРАСНОПР,7280,12599,4044,12607,9386,17880,10540,14269,1308,7460,7690,11887,4158,2668,15643,17891,1612,17067,11230,11939,4517,16282,14088,5150,1437,6430,7981,18911,14370,14981,6820,13199,2557,16828,2910,17423,3775,5229,15272,9810,12699,19139,6313,14968,13820,3225,19411,5140,14363,5563,17229,9169,13899,11313,9334,7188,8749,6741,15514,2709,4971,16371,5647,19122,18446,4039,5158,1638,15726,19286,6654,4747,8227,17678,2080,7444,18318,11762,10670,10716,8097,10382,10863,4739,8890,18537,4172,3661,19791,10943,8993,6770.385377075001
Таганская,16,ТАГАНСК-КРАСНОПР,1029,12304,9638,6083,17810,8511,18605,10843,18469,8995,5377,10007,4040,13843,1815,6433,1914,13707,2274,6493,9254,8926,18663,16816,7551,17892,4161,8121,8598,2930,11903,17654,7011,12734,7860,13741,6759,13617,18342,6316,10981,4875,4273,10149,2380,5387,5585,9893,17404,9893,17301,4768,4353,14491,8108,8125,7205,17132,4222,9745,3969,3107,10344,14012,7662,7137,12835,17282,11983,9496,7606,5835,1166,14239,10634,19234,9960,10612,17449,11479,12135,13894,3912,4624,5373,6573,8497,4409,3098,4681,14311,9654.092285831815
Китай город,16,ТАГАНСК-КРАСНОПР,16663,17846,8794,19874,10506,4853,18442,14260,16050,13883,16814,1387,5814,5121,19976,5331,2600,9019,18889,6031,7637,1631,3107,12907,6174,3135,1114,4947,3366,13367,2934,6552,3429,14188,18124,6039,2553,15565,11863,15901,18358,9693,4820,11002,9573,18167,12639,9008,11557,11554,3278,14812,2765,8626,15008,5445,8293,16618,6377,19589,6623,10857,12818,11142,19306,6369,18231,13958,13578,5066,18295,6725,7592,6521,19922,15823,11836,13431,1627,1840,1379,16388,12834,14297,12311,5848,17866,2485,15653,19760,13453,10571.285578484287
Кузнецкий мост,16,ТАГАНСК-КРАСНОПР,8561,18546,4187,15869,16958,12288,9376,7524,7438,18160,15482,9859,16461,2886,5859,8887,3614,3085,7904,4372,15579,7960,13739,4071,13418,5857,1143,14132,10789,8901,1401,17268,4699,1347,7132,6739,5550,3678,14803,15082,7389,5346,4639,12410,18551,3326,5847,14168,13266,13657,8091,7439,19787,5317,15977,10609,17660,15675,3606,19770,11345,6818,14278,15435,10096,18012,3810,7660,18667,1775,9514,11341,17761,1467,4565,7141,11909,3520,2895,9443,18673,14198,17512,19414,14375,14225,9078,6424,16659,5948,19994,14191.338107897536
Пушкинская,16,ТАГАНСК-КРАСНОПР,7556,18936,5957,2869,11023,11991,5302,3684,18883,7781,3328,1455,13015,8338,1222,7623,16345,5997,16159,4207,14164,10322,11581,5845,17390,12184,16225,18301,18721,1271,10605,9810,6966,6262,10414,2410,13095,5634,12569,18518,17830,14562,1548,2628,13935,4141,1968,15731,18994,14233,5653,16767,4550,11091,11999,13048,9791,10347,6583,11656,17513,12783,19052,10391,2364,1976,12305,16682,18261,18826,15799,4712,14053,18581,4787,4278,5893,13368,13673,9479,17534,10564,11149,10434,13701,6243,18016,6456,16776,12996,18052,8319.211107631663
Баррикадная,16,ТАГАНСК-КРАСНОПР,15715,3857,12484,9320,5831,6059,12881,17410,13153,18689,1047,6706,10276,9447,7568,7769,2392,8612,10833,15234,16800,13674,1224,8798,15611,7856,7299,16375,10978,15185,11513,14896,19205,17792,12211,12861,1171,4787,17074,1180,19400,3370,4453,13306,10092,15778,16200,13623,10936,4854,1723,6157,17470,2270,19984,13588,10847,14381,18799,3834,18729,11719,11007,16937,5728,9101,16552,6789,12489,9025,17041,3414,5656,19671,2847,12456,3299,15190,11638,4075,11017,10949,14511,5564,8056,9654,11573,16407,7032,6703,6893,18381.080776134106
Улица 1905 года,16,ТАГАНСК-КРАСНОПР,3233,12353,12835,7643,3166,8484,4909,3395,2319,7827,12426,8914,4711,3404,7565,9942,1984,18631,2529,2704,9089,13237,2416,19528,3271,16187,11961,3564,1872,5250,14625,1072,6962,3243,3242,7085,5902,10383,13899,2520,19607,16034,10777,14686,15633,6776,16741,4414,10015,6939,6035,19180,11588,17728,12334,1898,12276,1772,8594,6636,7258,2661,11333,17994,12212,3002,19021,17580,6419,3908,18233,14142,4316,11279,10196,16015,6676,15962,2060,13769,14521,13044,8178,13937,6956,10383,17083,5425,14523,11264,7104,2802.198901686692
Беговая,16,ТАГАНСК-КРАСНОПР,16286,2130,6274,10083,8441,2742,7769,2215,13962,10524,3028,3987,14901,11041,16185,10297,4388,16513,3251,15128,19318,17031,18402,2800,18291,2888,7844,11749,7811,16041,15362,11031,4626,15058,6968,3756,16771,17906,7155,1419,4552,7329,9803,13729,16579,13695,5988,8283,10046,12789,19295,3941,13322,19786,11334,14323,2713,10158,6365,7485,8220,3309,19539,5434,19602,6596,16370,4106,6534,14004,7157,13434,1992,1290,16204,9278,15846,17542,16903,17995,16011,10853,10454,11947,19302,8221,1277,14897,4448,19628,15218,13881.331677064329
Полежаевская,16,ТАГАНСК-КРАСНОПР,1746,15609,6379,17185,14858,16500,13770,12616,18112,18970,1137,7368,1757,8818,10308,18182,19098,17832,15516,17064,17283,6781,3028,10048,2370,17880,10502,2145,15764,9643,1867,13655,8291,19438,13388,1823,18441,17032,6732,14148,15120,1415,11114,1652,5871,13405,13147,2144,6933,17522,18776,1396,4956,13273,17554,13974,1351,2928,5089,19136,13133,4418,8007,6210,2798,7767,13164,11435,15418,1133,1794,10767,10788,17324,16758,4241,7692,8316,13588,9345,18671,4937,5156,8808,19372,5978,9772,13199,4546,9804,1034,10261.093379579675
Октябрьское поле,16,ТАГАНСК-КРАСНОПР,11410,8089,7088,15027,7165,5383,13983,16912,6966,1396,9413,14245,16748,1166,6496,9619,4312,17538,19822,16589,1359,3099,15694,2108,16277,16435,14583,2031,10270,3153,3980,11086,7389,18049,18666,17450,16039,15963,8885,14176,13784,11578,14270,1476,5684,11686,12658,14310,2406,10720,16583,8337,1286,10260,4571,17562,14212,15389,15066,19633,17987,6312,19818,17264,15137,7372,4441,1389,13434,1333,18508,15218,18110,6687,9636,14215,2576,18706,15601,14554,4497,4845,1479,4831,12299,8962,1781,11323,16394,10393,12500,15720.220057473918
Щукинская,16,ТАГАНСК-КРАСНОПР,16505,12545,3383,16295,17036,1852,11347,14549,7010,14817,12137,10334,4852,12653,3050,8943,9149,8050,14942,13553,3320,7612,4927,18569,10013,14168,15081,2077,3482,5315,9955,2981,19572,5058,12392,3492,15627,12417,6147,15939,16944,18317,1799,7724,19359,12424,11824,16291,11378,4463,12903,3568,16183,5224,18573,6430,10520,1533,15604,18220,19946,12073,13845,13763,3003,15997,8056,11120,12831,15054,11125,5270,14183,6467,12348,11299,11705,1009,19924,15850,9492,6370,9172,2481,9195,4112,8236,4590,16035,8259,7789,5348.615659259027
Тушинская,16,ТАГАНСК-КРАСНОПР,10945,11642,13149,19974,18761,1863,8648,17208,5517,5296,9016,4540,16811,5680,5260,8604,15278,17245,2898,9574,7378,12558,17504,11274,2975,12913,10415,2228,18786,4380,3200,12543,9593,8896,13758,1396,14947,4621,14480,6036,9383,11219,10042,2464,16650,7744,17311,11632,11401,4393,15883,18279,12300,6448,15778,1811,11350,17411,13166,12952,1660,2420,3929,19982,7135,13392,19693,17985,4464,19865,8118,4151,5219,11699,5678,19142,7457,6472,8868,5150,6592,15167,17804,16315,13321,8825,10692,7704,9393,12026,12217,5781.59704154899
Сходненская,16,ТАГАНСК-КРАСНОПР,10763,1542,4638,11123,15477,4395,1197,7015,2042,1263,8802,1151,6871,19273,15089,9136,11030,10269,13444,19557,10014,7542,1624,6617,7243,11301,8013,5024,4675,11397,17903,10689,18593,3930,3664,4052,10630,9964,15366,12301,16338,6858,2141,16880,16299,3952,12071,8785,8054,9938,14047,12893,9657,9583,5077,1809,4826,2846,9572,1633,3943,17900,8426,17139,11559,4358,1910,18680,17667,1034,12106,18933,15210,7468,18027,15528,18033,1759,19528,5933,7139,8516,2068,6077,8978,17076,1251,18712,10108,3733,19574,12472.941484354575
Планерная,16,ТАГАНСК-КРАСНОПР,2058,2229,15713,19048,15712,12458,14479,7591,16587,13612,7160,15106,16574,9729,2872,6071,6408,4820,5542,11929,8218,1308,15870,6733,19269,19413,15948,10656,5585,13593,10109,8756,13893,1400,6381,8057,3192,17959,2360,5590,19793,1102,14556,3071,7132,8187,11765,6593,14042,4828,19936,16326,2169,18871,5761,19857,13274,17047,15308,17808,5741,8801,14405,5401,10540,7194,19579,15874,13194,1485,2559,6348,18203,1614,19159,11036,16920,17523,18193,13947,19651,3268,7051,18169,1037,11394,3138,7562,18544,5519,12747,5723.982538455972
Алтуфьево,17,СЕРПУХОВ-ТИМИРЯЗ,17495,5710,8576,7132,13445,9188,5657,7807,6666,7445,9049,16929,10239,18717,14130,5413,6721,11398,6956,2109,13866,13331,10394,14387,8851,11191,19027,13064,5760,6885,11394,11895,14552,1732,6939,6477,15194,5808,18034,19543,16386,18271,1425,2320,5533,5772,6294,9750,4877,13422,14393,13204,4756,10919,6609,5068,10347,11971,9585,2104,14876,9296,8622,5161,3675,11675,15120,6135,5319,11379,17353,6402,19104,11468,9943,14598,15936,14617,7397,6814,18483,13149,19130,1294,4823,15559,8340,1844,2953,17355,5422,5002.751500736471
Бибирево,17,СЕРПУХОВ-ТИМИРЯЗ,16293,10143,3783,13132,8447,6670,11103,7329,5100,14999,2105,19800,1137,4525,12840,17180,11838,8030,19155,3112,4455,15751,12287,3919,13959,18127,7859,5458,17856,11564,5606,9338,3694,18011,4756,11097,5737,13952,19413,12847,5890,5811,18478,15840,8588,10837,7703,17055,13637,9740,5391,16320,14048,14412,5319,10041,15747,2978,19516,7279,9320,9242,8067,16141,3410,5995,14608,10594,14984,19449,10429,3409,18734,6071,8394,13080,19714,14551,6298,9065,13677,15890,4934,1957,4988,16783,14849,2982,3927,7891,17019,13867.719507575533
Отрадное,17,СЕРПУХОВ-ТИМИРЯЗ,15288,9190,10363,6563,11467,14256,15323,9333,1523,15454,13851,3039,2678,14863,14758,3416,14502,19124,6912,9857,10009,4124,1615,16351,8926,13701,18426,7384,6438,1245,18162,19504,5925,8337,1747,8975,14616,7612,17722,12696,1191,8638,14568,15866,11602,9198,15694,8123,1727,7022,5351,6485,6594,4406,15925,8059,16310,15530,19838,10954,6002,10022,3504,16823,9083,1993,3023,18386,4589,13129,17868,17217,15196,10661,13027,18914,18935,13966,8641,17164,19492,14812,4158,13605,8791,8638,19209,9153,8365,4023,13333,14369.535635312432
Владыкино,17,СЕРПУХОВ-ТИМИРЯЗ,8999,12484,8891,14104,7367,4295,7895,15159,3279,9750,13738,13782,2882,4482,10386,17903,7738,14619,16915,8474,17898,7984,12252,16435,18181,9874,1447,6075,14264,17982,11704,5015,12470,2240,11424,16865,1024,7285,18159,2535,4195,5594,12804,1941,2122,10532,8033,14248,4274,11598,9441,2333,8346,17990,8134,9254,5506,19866,6518,16115,18935,2751,9899,12398,15866,13107,4360,6041,16326,5488,10750,7059,18209,6468,13082,12630,1925,14715,6826,12517,15784,6380,17305,4045,5578,12048,3395,9262,6191,8631,14607,14474.49847286714
Петр.-Разумовск.,17,СЕРПУХОВ-ТИМИРЯЗ,17039,2100,16371,14437,8922,7359,3836,14075,16577,6091,4352,5692,3146,13633,11114,13229,16864,10824,19292,1329,15794,9100,16999,18717,18342,13955,12040,15223,19977,11552,19139,7335,4305,5944,19600,9883,1482,12175,9771,17407,19117,4568,8381,7436,15658,8320,16618,11012,14084,9264,14241,11212,1949,8759,7929,16607,10856,18611,10481,2965,8202,7194,5592,18731,7649,7225,16927,8928,11114,12881,7019,15264,9777,18294,8803,16256,13040,17271,16981,18175,4768,6968,6284,7909,1260,12564,6144,15153,9458,1784,14465,18684.4117456822
Тимирязевская,17,СЕРПУХОВ-ТИМИРЯЗ,5269,8511,5273,7708,17667,4975,10734,16524,1832,18670,12166,19914,11917,5022,4967,16482,7103,15036,8852,1180,14116,11498,11536,14674,3625,10144,18591,11708,3043,9946,16020,14498,19828,17461,8318,12075,19659,5930,6036,10343,1935,5011,10460,6420,17367,14611,2253,9074,16814,9527,3732,4668,5627,10602,1247,2916,11894,2966,18520,19183,15139,15108,10986,17674,13369,17876,11932,15194,18566,3083,9876,11716,16018,17335,12839,14667,1872,9178,3864,13388,19007,7331,1485,18201,19947,14639,11078,16256,10345,2153,17467,10170.499322385458
